fila_bronze,chofer_id,chofer_nombre,centro_distribucion,horas_conduccion_mes,salario_base_bob,ausentismo_dias,columnas_con_problemas,en_cuarentena,chofer_id_preparado,chofer_nombre_preparado,centro_distribucion_preparado,horas_conduccion_mes_preparado,salario_base_bob_preparado,ausentismo_dias_preparado,registro_canonico,excluido_como_copia,columnas_pendientes,en_cuarentena_final,registro_utilizable,version_tratamiento
130,CHO-130,Oscar Calle,Cochabamba,131.0,4957.54,0,,False,CHO-130,Oscar Calle,Cochabamba,131.0,4957.54,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
131,CHO-131,Adolfo Perez,Cochabamba,108.3,3879.72,2,,False,CHO-131,Adolfo Perez,Cochabamba,108.3,3879.72,2,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
132,CHO-132,Juan Tapia,Tarija,119.4,4395.74,0,,False,CHO-132,Juan Tapia,Tarija,119.4,4395.74,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
133,CHO-133,Marcos Lino,Santa Cruz,178.7,4817.83,0,,False,CHO-133,Marcos Lino,Santa Cruz,178.7,4817.83,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
134,CHO-134,Adolfo Perez,La Paz,182.5,5792.79,0,,False,CHO-134,Adolfo Perez,La Paz,182.5,5792.79,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
135,CHO-135,Juan Tapia,Cochabamba,213.0,6069.29,0,,False,CHO-135,Juan Tapia,Cochabamba,213.0,6069.29,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
136,CHO-136,Rene Rojas,Oruro,158.9,6048.86,1,,False,CHO-136,Rene Rojas,Oruro,158.9,6048.86,1,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
137,CHO-137,Marcos Lino,La Paz,140.8,3881.24,1,,False,CHO-137,Marcos Lino,La Paz,140.8,3881.24,1,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
138,CHO-138,Juan Tapia,Cochabamba,148.3,3601.0,0,,False,CHO-138,Juan Tapia,Cochabamba,148.3,3601.0,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
139,CHO-139,Juan Tapia,La Paz,188.8,5035.11,0,,False,CHO-139,Juan Tapia,La Paz,188.8,5035.11,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
140,CHO-140,Oscar Calle,Cochabamba,165.5,5144.04,0,,False,CHO-140,Oscar Calle,Cochabamba,165.5,5144.04,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
141,CHO-141,Marcos Lino,Santa Cruz,103.3,4512.52,1,,False,CHO-141,Marcos Lino,Santa Cruz,103.3,4512.52,1,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
142,CHO-142,Marcos Lino,Santa Cruz,127.3,4352.91,1,,False,CHO-142,Marcos Lino,Santa Cruz,127.3,4352.91,1,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
143,CHO-143,Adolfo Perez,Cochabamba,149.5,6153.1,0,,False,CHO-143,Adolfo Perez,Cochabamba,149.5,6153.1,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
144,CHO-144,Juan Tapia,Oruro,161.5,6445.08,0,,False,CHO-144,Juan Tapia,Oruro,161.5,6445.08,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
145,CHO-145,Adolfo Perez,Cochabamba,200.1,5894.13,0,,False,CHO-145,Adolfo Perez,Cochabamba,200.1,5894.13,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
146,CHO-146,Oscar Calle,Tarija,212.4,4280.56,1,,False,CHO-146,Oscar Calle,Tarija,212.4,4280.56,1,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
147,CHO-147,Hugo Banzer,Cochabamba,213.2,4504.13,0,,False,CHO-147,Hugo Banzer,Cochabamba,213.2,4504.13,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
148,CHO-148,Oscar Calle,La Paz,136.4,3786.97,0,,False,CHO-148,Oscar Calle,La Paz,136.4,3786.97,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
149,CHO-149,Marcos Lino,Santa Cruz,164.6,6186.61,0,,False,CHO-149,Marcos Lino,Santa Cruz,164.6,6186.61,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
150,CHO-150,Adolfo Perez,Oruro,172.8,5947.45,0,,False,CHO-150,Adolfo Perez,Oruro,172.8,5947.45,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
151,CHO-151,Marcos Lino,Cochabamba,133.4,5539.77,0,,False,CHO-151,Marcos Lino,Cochabamba,133.4,5539.77,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
152,CHO-003,Marcos Lino,Oruro,121.4,6269.76,1,chofer_id,True,CHO-003,Marcos Lino,Oruro,121.4,6269.76,1,False,True,,True,False,GIAD-M3-S4-HR-drivers-tratamiento-v1
153,CHO-056,Juan Tapia,Tarija,174.3,3892.49,0,chofer_id,True,CHO-056,Juan Tapia,Tarija,174.3,3892.49,0,False,True,,True,False,GIAD-M3-S4-HR-drivers-tratamiento-v1
154,CHO-119,Jn Tapia,Oruro,179.0,5410.5,0,chofer_id,True,CHO-119,Jn Tapia,Oruro,179.0,5410.5,0,True,False,chofer_id,True,False,GIAD-M3-S4-HR-drivers-tratamiento-v1
155,CHO-141,Marcos Lino,Santa Cruz,103.3,4512.52,1,chofer_id,True,CHO-141,Marcos Lino,Santa Cruz,103.3,4512.52,1,False,True,,True,False,GIAD-M3-S4-HR-drivers-tratamiento-v1
156,CHO-126,Rene Rojas,La Paz,151.3,5166.52,0,chofer_id,True,CHO-126,Rene Rojas,La Paz,151.3,5166.52,0,False,True,,True,False,GIAD-M3-S4-HR-drivers-tratamiento-v1
