registro_id,timestamp_raw,equipo_id,turno,operador_nombre,temperatura_c,vibracion_mm_s,energia_kwh,produccion_t,estado_mantenimiento
EVT-000414,04/09/2026 14:30,REACTOR-B,B,Elena Quispe,69.30,3.505,"605,75 kWh",37.30,SIN_ORDEN
EVT-000082,2026-09-02 16:30:00,REACTOR-A,B,Bruno Salvatierra,64.61,3.130,619.29,35.33,SIN_ORDEN
EVT-000504,2026-09-01 11:30:00,REACTOR-C,A,Gabriela Flores,69.66,3.659,"653,40 kWh",41.68,SIN_ORDEN
EVT-000242,2026-09-01 00:30:00,REACTOR-B,C,Fernando López,73.74,3.436,649.09,42.08,SIN_ORDEN
EVT-000481,2026-09-01 00:00:00,REACTOR-C,C,Irene Choque,70.45,3.898,637.02,"38,72 t",SIN_ORDEN
EVT-000236,2026-09-05 21:30:00,REACTOR-A,B,Bruno Salvatierra,"67,06 °C",3.788,610.91,36.64,SIN_ORDEN
EVT-000406,2026-09-04 10:30:00,REACTOR-B,A,Diego Arce,72.46,3.466,667.03,40.22,SIN_ORDEN
EVT-000672,2026-09-04T23:30:00-04:00,REACTOR-C,C,Irene Choque,68.07,3.376,628.16,38.20,SIN_ORDEN
EVT-000614,2026-09-03 18:30:00,REACTOR-C,B,Hugo Vargas,64.91,3.837,619.07,35.32,SIN_ORDEN
EVT-000054,2026-09-02 02:30:00,REACTOR-A,C,Carla Méndez,73.54,3.269,662.44,41.06,SIN_ORDEN
EVT-000565,2026-09-02 18:00:00,REACTOR-C,B,Hugo Vargas,64.99,4.115,614.94,34.34,PREVENTIVO
EVT-000606,2026-09-03 14:30:00,REACTOR-C,B,Hugo Vargas,66.55,3.977,615.68,36.25,SIN_ORDEN
EVT-000168,2026-09-04 11:30:00,REACTOR-A,A,Ana Rojas,"69,17 °C","3,067 mm/s",635.09,38.33,SIN_ORDEN
EVT-000255,2026-09-01 07:00:00,REACTOR-B,A,Diego Arce,75.52,3.783,"646,65 kWh",41.12,SIN_ORDEN
EVT-000482,2026-09-01 00:30:00,REACTOR-C,C,Irene Choque,68.96,3.730,589.01,35.61,SIN_ORDEN
EVT-000482,2026-09-01 00:30:00,REACTOR-C,C,Irene Choque,68.96,3.730,589.01,35.61,SIN_ORDEN
EVT-000164,2026-09-04 09:30:00,REACTOR-A,A,Ana Rojas,72.70,3.144,691.12,43.03,SIN_ORDEN
EVT-000548,02/09/2026 09:30,REACTOR-C,A,Gabriela Flores,73.17,3.972,639.72,37.14,SIN_ORDEN
EVT-000227,2026-09-05T17:00:00-04:00,REACTOR-A,B,Bruno Salvatierra,"65,77 °C",3.349,600.96,35.50,SIN_ORDEN
EVT-000505,2026-09-01 12:00:00,REACTOR-C,A,Gabriela Flores,69.53,3.355,"645,14 kWh",40.43,SIN_ORDEN
EVT-000257,2026-09-01 08:00:00,REACTOR-B,A,Diego Arce,76.61,3.881,668.08,42.14,SIN_ORDEN
EVT-000172,04/09/2026 13:30,REACTOR-A,A,Ana Rojas,67.15,3.372,636.45,34.95,SIN_ORDEN
EVT-000625,2026-09-04T00:00:00-04:00,REACTOR-C,C,Irene Choque,"67,44 °C",3.344,620.43,36.99,SIN_ORDEN
EVT-000668,2026-09-04 21:30:00,REACTOR-C,B,Hugo Vargas,65.52,4.419,624.94,37.18,SIN_ORDEN
EVT-000028,2026-09-01 13:30:00,REACTOR-A,A,Ana Rojas,68.25,3.178,618.38,38.26,SIN_ORDEN
EVT-000636,2026-09-04 05:30:00,REACTOR-C,C,Irene Choque,70.38,"4,602 mm/s",642.80,40.97,SIN_ORDEN
EVT-000051,2026-09-02 01:00:00,REACTOR-A,C,Carla Méndez,71.36,3.225,624.32,36.80,SIN_ORDEN
EVT-000513,2026-09-01 16:00:00,REACTOR-C,B,Hugo Vargas,65.12,3.874,621.64,35.38,SIN_ORDEN
EVT-000652,2026-09-04 13:30:00,REACTOR-C,A,Gabriela Flores,66.37,4.354,638.11,39.66,SIN_ORDEN
EVT-000562,2026-09-02 16:30:00,REACTOR-C,B,Hugo Vargas,64.30,4.334,578.21,"32,19 t",SIN_ORDEN
EVT-000670,2026-09-04 22:30:00,REACTOR-C,C,Irene Choque,"67,40 °C",4.242,"638,57 kWh",35.79,SIN_ORDEN
EVT-000357,2026-09-03 10:00:00,REACTOR-B,A,Diego Arce,72.59,3.559,661.99,42.38,SIN_ORDEN
EVT-000455,2026-09-05 11:00:00,REACTOR-B,A,Diego Arce,"72,67 °C",3.107,672.76,42.90,SIN_ORDEN
EVT-000148,2026-09-04 01:30:00,REACTOR-A,C,Carla Méndez,71.76,3.533,"642,97 kWh",39.87,SIN_ORDEN
EVT-000637,2026-09-04 06:00:00,REACTOR-C,A,Gabriela Flores,95.2 °C,8.45 mm/s,856.0 kWh,40.72,SIN_ORDEN
EVT-000088,2026-09-02 19:30:00,REACTOR-A,B,Bruno Salvatierra,68.51,3.941,595.61,35.46,SIN_ORDEN
EVT-000653,2026-09-04 14:00:00,REACTOR-C,B,Hugo Vargas,67.94,4.242,606.43,35.42,SIN_ORDEN
EVT-000456,2026-09-05 11:30:00,REACTOR-B,A,Diego Arce,"75,59 °C",3.449,650.98,40.51,SIN_ORDEN
EVT-000519,2026-09-01 19:00:00,REACTOR-C,B,Hugo Vargas,66.89,3.859,610.27,35.34,SIN_ORDEN
EVT-000459,2026-09-05 13:00:00,REACTOR-B,A,Diego Arce,"72,37 °C",3.329,641.71,38.73,SIN_ORDEN
EVT-000228,2026-09-05 17:30:00,REACTOR-A,B,Bruno Salvatierra,66.25,3.680,630.00,35.40,SIN_ORDEN
EVT-000623,2026-09-03 23:00:00,REACTOR-C,C,Irene Choque,67.17,3.846,611.04,35.66,SIN_ORDEN
EVT-000237,2026-09-05 22:00:00,REACTOR-A,C,Carla Méndez,67.57,"-3,5 mm/s",645.34,37.92,SIN_ORDEN
EVT-000709,2026-09-05 18:00:00,REACTOR-C,B,Hugo Vargas,64.39,3.716,"603,59 kWh",33.58,SIN_ORDEN
EVT-000428,2026-09-04 21:30:00,REACTOR-B,B,Elena Quispe,69.49,3.279,650.03,"39,16 t",SIN_ORDEN
EVT-000440,2026-09-05 03:30:00,REACTOR-B,C,Fernando López,76.01,3.731,"687,93 kWh",44.44,SIN_ORDEN
EVT-000026,2026-09-01 12:30:00,REACTOR-A,A,Ana Rojas,70.15,3.123,634.07,39.11,SIN_ORDEN
EVT-000025,2026-09-01 12:00:00,REACTOR-A,A,Ana Rojas,"69,37 °C",2.838,668.64,39.47,SIN_ORDEN
EVT-000426,2026-09-04 20:30:00,REACTOR-B,B,Elena Quispe,69.20,3.161,629.35,39.57,SIN_ORDEN
EVT-000667,2026-09-04 21:00:00,REACTOR-C,B,Hugo Vargas,64.65,4.105,606.09,36.18,SIN_ORDEN
EVT-000720,2026-09-05 23:30:00,REACTOR-C,C,Irene Choque,67.94,3.791,635.93,39.61,SIN_ORDEN
EVT-000211,2026-09-05 09:00:00,REACTOR-A,A,Ana Rojas,-999,3.152,646.56,42.85,SIN_ORDEN
EVT-000333,2026-09-02 22:00:00,REACTOR-B,C,Fernando López,71.30,3.577,664.97,40.52,PREVENTIVO
EVT-000319,2026-09-02 15:00:00,REACTOR-B,B,Elena Quispe,67.98,"3,562 mm/s",636.40,38.56,SIN_ORDEN
EVT-000004,2026-09-01 01:30:00,REACTOR-A,C,Carla Méndez,70.99,2.553,619.34,38.48,SIN_ORDEN
EVT-000107,2026-09-03 05:00:00,REACTOR-A,C,Carla Méndez,74.25,3.262,659.54,41.34,SIN_ORDEN
EVT-000269,2026-09-01 14:00:00,REACTOR-B,B,Elena Quispe,70.76,3.752,610.89,"37,36 t",SIN_ORDEN
EVT-000353,2026-09-03 08:00:00,REACTOR-B,A,Diego Arce,93.4 °C,9.35 mm/s,856.0 kWh,45.81,SIN_ORDEN
EVT-000451,2026-09-05 09:00:00,REACTOR-B,A,Diego Arce,73.70,3.450,646.88,41.13,SIN_ORDEN
EVT-000052,2026-09-02 01:30:00,REACTOR-A,C,Carla Méndez,"71,62 °C",3.318,659.91,41.10,SIN_ORDEN
EVT-000362,2026-09-03 12:30:00,REACTOR-B,A,Diego Arce,70.11,3.768,652.44,40.91,SIN_ORDEN
EVT-000630,2026-09-04 02:30:00,REACTOR-C,C,Irene Choque,70.23,3.405,652.76,40.54,SIN_ORDEN
EVT-000127,2026-09-03 15:00:00,REACTOR-A,B,Bruno Salvatierra,64.94,3.131,639.76,37.17,SIN_ORDEN
EVT-000488,01/09/2026 03:30,REACTOR-C,C,Irene Choque,"69,91 °C",4.646,637.50,"42,16 t",SIN_ORDEN
EVT-000554,2026-09-02 12:30:00,REACTOR-C,A,Gabriela Flores,67.85,3.933,641.61,41.13,SIN_ORDEN
EVT-000608,2026-09-03 15:30:00,REACTOR-C,B,Hugo Vargas,63.83,"3,982 mm/s",602.60,35.10,SIN_ORDEN
EVT-000485,2026-09-01 02:00:00,REACTOR-C,C,Irene Choque,70.50,3.588,670.13,42.42,SIN_ORDEN
EVT-000061,2026-09-02 06:00:00,REACTOR-A,A,Ana Rojas,73.57,3.363,697.65,43.76,SIN_ORDEN
EVT-000570,2026-09-02 20:30:00,REACTOR-C,B,Hugo Vargas,65.53,3.991,612.09,35.39,SIN_ORDEN
EVT-000078,2026-09-02 14:30:00,REACTOR-A,B,Bruno Salvatierra,66.20,3.761,650.49,37.21,SIN_ORDEN
EVT-000478,2026-09-05 22:30:00,REACTOR-B,C,Fernando López,71.27,3.467,641.18,NO_REGISTRADO,SIN_ORDEN
EVT-000202,2026-09-05 04:30:00,REACTOR-A,C,Carla Méndez,74.65,3.536,687.71,44.98,SIN_ORDEN
EVT-000591,2026-09-03 07:00:00,REACTOR-C,A,Gabriela Flores,"69,14 °C",3.831,671.39,42.78,SIN_ORDEN
EVT-000420,2026-09-04 17:30:00,REACTOR-B,B,Elena Quispe,68.79,S/D,622.16,37.03,SIN_ORDEN
EVT-000275,2026-09-01 17:00:00,REACTOR-B,B,Elena Quispe,66.65,3.862,636.92,"38,65 t",SIN_ORDEN
EVT-000550,2026-09-02 10:30:00,REACTOR-C,A,Gabriela Flores,,4.049,642.16,"39,97 t",SIN_ORDEN
EVT-000461,05/09/2026 14:00,REACTOR-B,B,Elena Quispe,69.19,3.760,608.24,39.44,PREVENTIVO
EVT-000011,2026-09-01 05:00:00,REACTOR-A,C,Carla Méndez,74.99,3.354,660.54,42.50,SIN_ORDEN
EVT-000442,2026-09-05 04:30:00,REACTOR-B,C,Fernando López,"73,97 °C",3.822,"685,29 kWh",44.58,SIN_ORDEN
EVT-000673,2026-09-05 00:00:00,REACTOR-C,C,Irene Choque,67.81,3.688,624.74,36.41,SIN_ORDEN
EVT-000245,2026-09-01 02:00:00,REACTOR-B,C,Fernando López,73.07,3.606,659.93,"-8,0 t",PREVENTIVO
EVT-000223,2026-09-05 15:00:00,REACTOR-A,B,Bruno Salvatierra,64.70,3.341,624.75,"35,41 t",SIN_ORDEN
EVT-000475,2026-09-05 21:00:00,REACTOR-B,B,Elena Quispe,70.94,3.853,625.20,38.05,SIN_ORDEN
EVT-000308,2026-09-02 09:30:00,REACTOR-B,A,Diego Arce,73.73,3.599,"654,81 kWh",42.42,SIN_ORDEN
EVT-000458,05/09/2026 12:30,REACTOR-B,A,Diego Arce,72.80,3.553,657.54,40.99,SIN_ORDEN
EVT-000423,2026-09-04 19:00:00,REACTOR-B,B,Elena Quispe,66.90,3.909,613.25,37.63,SIN_ORDEN
EVT-000007,2026-09-01 03:00:00,REACTOR-A,C,Carla Méndez,73.34,3.281,652.31,41.18,SIN_ORDEN
EVT-000196,2026-09-05 01:30:00,REACTOR-A,C,Carla Méndez,72.02,S/D,670.65,41.89,SIN_ORDEN
EVT-000023,2026-09-01 11:00:00,REACTOR-A,A,Ana Rojas,71.51,3.021,657.17,40.50,SIN_ORDEN
EVT-000619,2026-09-03 21:00:00,REACTOR-C,B,Hugo Vargas,66.61,4.119,621.89,35.55,SIN_ORDEN
EVT-000048,2026-09-01 23:30:00,REACTOR-A,C,Carla Méndez,68.52,2.561,"595,39 kWh",37.40,SIN_ORDEN
EVT-000439,2026-09-05 03:00:00,REACTOR-B,C,Fernando López,73.33,3.576,695.64,43.32,SIN_ORDEN
EVT-000686,05/09/2026 06:30,REACTOR-C,A,Gabriela Flores,72.93,4.136,639.02,39.43,SIN_ORDEN
EVT-000260,2026-09-01 09:30:00,REACTOR-B,A,Diego Arce,73.99,3.409,"668,18 kWh",39.67,SIN_ORDEN
EVT-000135,2026-09-03 19:00:00,REACTOR-A,B,Bruno Salvatierra,65.17,3.191,611.97,35.73,PREVENTIVO
EVT-000246,2026-09-01 02:30:00,REACTOR-B,C,Fernando López,73.85,3.858,"656,09 kWh",40.55,SIN_ORDEN
EVT-000021,01/09/2026 10:00,REACTOR-A,A,Ana Rojas,72.53,3.467,662.80,40.53,SIN_ORDEN
EVT-000287,2026-09-01 23:00:00,REACTOR-B,C,Fernando López,"71,92 °C",3.059,-120 kWh,40.11,SIN_ORDEN
EVT-000132,2026-09-03 17:30:00,REACTOR-A,B,Bruno Salvatierra,66.01,3.228,610.67,35.76,SIN_ORDEN
EVT-000373,2026-09-03 18:00:00,REACTOR-B,B,Elena Quispe,67.72,3.743,635.19,37.29,SIN_ORDEN
EVT-000669,2026-09-04 22:00:00,REACTOR-C,C,Irene Choque,65.11,3.849,625.12,"37,73 t",SIN_ORDEN
EVT-000460,2026-09-05T13:30:00-04:00,REACTOR-B,A,Diego Arce,71.15,3.571,652.75,39.77,SIN_ORDEN
EVT-000089,2026-09-02 20:00:00,REACTOR-A,B,Bruno Salvatierra,66.59,3.502,609.83,33.92,SIN_ORDEN
EVT-000040,2026-09-01 19:30:00,REACTOR-A,B,Bruno Salvatierra,66.94,S/D,616.47,35.30,SIN_ORDEN
EVT-000679,2026-09-05 03:00:00,REACTOR-C,C,Irene Choque,"70,25 °C",3.682,645.37,41.02,SIN_ORDEN
EVT-000343,2026-09-03 03:00:00,REACTOR-B,C,Fernando López,74.57,3.317,,46.29,SIN_ORDEN
EVT-000038,2026-09-01 18:30:00,REACTOR-A,B,Bruno Salvatierra,65.20,3.319,603.90,32.25,SIN_ORDEN
EVT-000046,2026-09-01 22:30:00,REACTOR-A,C,Carla Méndez,67.94,3.229,656.43,38.66,SIN_ORDEN
EVT-000597,2026-09-03 10:00:00,REACTOR-C,A,Gabriela Flores,70.70,3.879,634.96,39.96,SIN_ORDEN
EVT-000056,2026-09-02 03:30:00,REACTOR-A,C,Carla Méndez,73.85,3.518,667.06,40.85,SIN_ORDEN
EVT-000477,2026-09-05 22:00:00,REACTOR-B,C,Fernando López,71.04,S/D,629.79,38.65,SIN_ORDEN
EVT-000706,2026-09-05 16:30:00,REACTOR-C,B,Hugo Vargas,64.45,3.931,604.35,37.71,SIN_ORDEN
EVT-000654,2026-09-04 14:30:00,REACTOR-C,B,Hugo Vargas,64.62,4.034,632.59,36.80,SIN_ORDEN
EVT-000604,2026-09-03 13:30:00,REACTOR-C,A,Gabriela Flores,65.73,3.788,626.28,35.35,SIN_ORDEN
EVT-000103,2026-09-03 03:00:00,REACTOR-A,C,Carla Méndez,"72,07 °C",3.214,,43.92,SIN_ORDEN
EVT-000678,2026-09-05 02:30:00,REACTOR-C,C,Irene Choque,71.57,4.414,647.43,40.99,SIN_ORDEN
EVT-000003,2026-09-01 01:00:00,REACTOR-A,C,Carla Méndez,69.62,3.397,644.02,39.84,SIN_ORDEN
EVT-000018,2026-09-01 08:30:00,REACTOR-A,A,Ana Rojas,73.39,3.365,"678,08 kWh","42,61 t",SIN_ORDEN
EVT-000125,2026-09-03 14:00:00,REACTOR-A,B,Bruno Salvatierra,69.14,"3,283 mm/s",633.08,38.94,SIN_ORDEN
EVT-000364,2026-09-03 13:30:00,REACTOR-B,A,Diego Arce,70.18,3.606,665.31,41.52,SIN_ORDEN
EVT-000075,2026-09-02 13:00:00,REACTOR-A,A,Ana Rojas,70.82,3.202,635.96,39.30,CORRECTIVO
EVT-000547,2026-09-02 09:00:00,REACTOR-C,A,Gabriela Flores,70.48,3.777,"635,19 kWh",38.85,SIN_ORDEN
EVT-000370,2026-09-03 16:30:00,REACTOR-B,B,Elena Quispe,67.53,3.903,621.69,37.37,SIN_ORDEN
EVT-000471,2026-09-05 19:00:00,REACTOR-B,B,Elena Quispe,67.59,"3,940 mm/s",614.30,36.84,SIN_ORDEN
EVT-000688,2026-09-05 07:30:00,REACTOR-C,A,Gabriela Flores,69.51,"4,548 mm/s",645.82,39.27,SIN_ORDEN
EVT-000566,2026-09-02 18:30:00,REACTOR-C,B,Hugo Vargas,65.16,4.068,619.73,36.15,SIN_ORDEN
EVT-000039,2026-09-01 19:00:00,REACTOR-A,B,Bruno Salvatierra,65.82,3.473,607.82,35.56,SIN_ORDEN
EVT-000610,2026-09-03 16:30:00,REACTOR-C,B,Hugo Vargas,65.67,4.237,616.22,34.68,SIN_ORDEN
EVT-000453,2026-09-05 10:00:00,REACTOR-B,A,Diego Arce,"73,32 °C",3.737,"665,77 kWh",42.09,SIN_ORDEN
EVT-000334,2026-09-02 22:30:00,REACTOR-B,C,Fernando López,69.77,3.777,606.97,37.44,SIN_ORDEN
EVT-000206,05/09/2026 06:30,REACTOR-A,A,Ana Rojas,71.35,3.630,674.91,43.92,SIN_ORDEN
EVT-000511,2026-09-01 15:00:00,REACTOR-C,B,Hugo Vargas,65.08,4.008,619.39,34.57,SIN_ORDEN
EVT-000316,2026-09-02 13:30:00,REACTOR-B,A,Diego Arce,69.81,3.483,675.10,"40,72 t",SIN_ORDEN
EVT-000425,04/09/2026 20:00,REACTOR-B,B,Elena Quispe,69.08,"3,650 mm/s","607,20 kWh",37.98,CORRECTIVO
EVT-000006,2026-09-01T02:30:00-04:00,REACTOR-A,C,Carla Méndez,88.0 °C,8.45 mm/s,880.0 kWh,42.11,SIN_ORDEN
EVT-000491,2026-09-01 05:00:00,REACTOR-C,C,Irene Choque,71.83,4.535,647.81,40.16,SIN_ORDEN
EVT-000479,2026-09-05 23:00:00,REACTOR-B,C,Fernando López,88.0 °C,8.90 mm/s,868.0 kWh,43.36,SIN_ORDEN
EVT-000381,2026-09-03T22:00:00-04:00,REACTOR-B,C,Fernando López,69.39,3.527,638.82,37.24,SIN_ORDEN
EVT-000305,2026-09-02 08:00:00,REACTOR-B,A,Diego Arce,75.22,3.585,665.41,45.23,SIN_ORDEN
EVT-000190,2026-09-04 22:30:00,REACTOR-A,C,Carla Méndez,69.47,3.569,"634,16 kWh",37.49,SIN_ORDEN
EVT-000122,2026-09-03 12:30:00,REACTOR-A,A,Ana Rojas,71.23,3.196,641.00,39.77,SIN_ORDEN
EVT-000540,2026-09-02 05:30:00,REACTOR-C,C,Irene Choque,72.52,3.935,672.11,43.10,SIN_ORDEN
EVT-000187,2026-09-04 21:00:00,REACTOR-A,B,Bruno Salvatierra,67.71,3.182,613.67,36.34,SIN_ORDEN
EVT-000530,2026-09-02 00:30:00,REACTOR-C,C,Irene Choque,69.20,4.122,630.35,38.27,SIN_ORDEN
EVT-000515,2026-09-01 17:00:00,REACTOR-C,B,Hugo Vargas,62.71,4.436,"583,54 kWh",33.41,SIN_ORDEN
EVT-000332,2026-09-02 21:30:00,REACTOR-B,B,Elena Quispe,70.20,3.468,613.98,38.36,SIN_ORDEN
EVT-000352,2026-09-03 07:30:00,REACTOR-B,A,Diego Arce,75.20,3.782,678.95,42.27,SIN_ORDEN
EVT-000509,2026-09-01 14:00:00,REACTOR-C,B,Hugo Vargas,66.09,4.057,601.61,32.09,SIN_ORDEN
EVT-000175,2026-09-04 15:00:00,REACTOR-A,B,Bruno Salvatierra,67.13,3.185,628.15,39.93,SIN_ORDEN
EVT-000147,2026-09-04 01:00:00,REACTOR-A,C,Carla Méndez,68.55,3.242,672.61,"41,00 t",SIN_ORDEN
EVT-000466,2026-09-05 16:30:00,REACTOR-B,B,Elena Quispe,67.33,3.967,638.99,36.28,SIN_ORDEN
EVT-000031,2026-09-01 15:00:00,REACTOR-A,B,Bruno Salvatierra,66.80,3.176,634.58,37.70,SIN_ORDEN
EVT-000087,02/09/2026 19:00,REACTOR-A,B,Bruno Salvatierra,65.33,3.305,612.61,"36,37 t",SIN_ORDEN
EVT-000315,2026-09-02 13:00:00,REACTOR-B,A,Diego Arce,69.44,3.216,660.45,39.83,PREVENTIVO
EVT-000307,2026-09-02 09:00:00,REACTOR-B,A,Diego Arce,73.93,3.113,678.64,43.46,SIN_ORDEN
EVT-000185,2026-09-04 20:00:00,REACTOR-A,B,Bruno Salvatierra,66.15,3.100,"632,00 kWh",35.19,SIN_ORDEN
EVT-000555,02/09/2026 13:00,REACTOR-C,A,Gabriela Flores,68.84,3.727,632.33,38.13,SIN_ORDEN
EVT-000323,2026-09-02 17:00:00,REACTOR-B,B,Elena Quispe,67.21,3.578,623.72,39.02,SIN_ORDEN
EVT-000382,2026-09-03 22:30:00,REACTOR-B,C,Fernando López,71.46,3.385,652.71,39.90,SIN_ORDEN
EVT-000388,2026-09-04 01:30:00,REACTOR-B,C,Fernando López,75.06,"3,286 mm/s",661.02,43.50,SIN_ORDEN
EVT-000226,2026-09-05 16:30:00,REACTOR-A,B,Bruno Salvatierra,68.94,3.456,623.47,35.57,SIN_ORDEN
EVT-000419,2026-09-04 17:00:00,REACTOR-B,B,Elena Quispe,"68,99 °C",3.484,631.16,39.88,SIN_ORDEN
EVT-000576,2026-09-02 23:30:00,REACTOR-C,C,Irene Choque,69.11,4.398,628.65,37.89,SIN_ORDEN
EVT-000033,sin_fecha,REACTOR-A,B,Bruno Salvatierra,67.83,3.103,611.33,35.85,SIN_ORDEN
EVT-000200,05/09/2026 03:30,REACTOR-A,C,Carla Méndez,74.34,3.099,679.96,43.68,SIN_ORDEN
EVT-000543,2026-09-02 07:00:00,REACTOR-C,A,Gabriela Flores,72.90,3.924,648.53,41.64,SIN_ORDEN
EVT-000220,2026-09-05 13:30:00,REACTOR-A,A,Ana Rojas,69.58,3.122,637.79,38.87,SIN_ORDEN
EVT-000262,2026-09-01 10:30:00,REACTOR-B,A,Diego Arce,73.72,3.619,692.32,42.92,SIN_ORDEN
EVT-000644,2026-09-04 09:30:00,REACTOR-C,A,Gabriela Flores,71.06,4.125,646.74,41.38,SIN_ORDEN
EVT-000683,2026-09-05 05:00:00,REACTOR-C,C,Irene Choque,71.97,4.046,651.58,42.11,SIN_ORDEN
EVT-000599,03/09/2026 11:00,REACTOR-C,A,Gabriela Flores,69.97,3.961,632.08,36.29,SIN_ORDEN
EVT-000161,2026-09-04 08:00:00,REACTOR-A,A,Ana Rojas,73.59,3.643,650.34,42.17,SIN_ORDEN
EVT-000376,2026-09-03 19:30:00,REACTOR-B,B,Elena Quispe,67.29,"3,849 mm/s",614.47,36.92,SIN_ORDEN
EVT-000611,2026-09-03 17:00:00,REACTOR-C,B,Hugo Vargas,65.90,4.025,609.81,33.86,SIN_ORDEN
EVT-000697,2026-09-05 12:00:00,REACTOR-C,A,Gabriela Flores,95.2 °C,8.00 mm/s,868.0 kWh,39.60,SIN_ORDEN
EVT-000166,2026-09-04 10:30:00,REACTOR-A,A,Ana Rojas,70.73,3.295,659.98,41.96,SIN_ORDEN
EVT-000070,2026-09-02 10:30:00,REACTOR-A,A,Ana Rojas,71.12,3.470,660.76,39.76,SIN_ORDEN
EVT-000069,2026-09-02 10:00:00,REACTOR-A,A,Ana Rojas,72.45,3.237,652.21,39.17,SIN_ORDEN
EVT-000397,2026-09-04 06:00:00,REACTOR-B,A,Diego Arce,75.36,4.266,670.42,42.04,SIN_ORDEN
EVT-000274,2026-09-01 16:30:00,REACTOR-B,B,Elena Quispe,69.80,"3,749 mm/s",616.77,34.28,SIN_ORDEN
EVT-000394,2026-09-04 04:30:00,REACTOR-B,C,Fernando López,74.26,3.635,658.59,42.65,SIN_ORDEN
EVT-000559,2026-09-02 15:00:00,REACTOR-C,B,Hugo Vargas,66.31,3.487,607.65,33.80,SIN_ORDEN
EVT-000685,2026-09-05 06:00:00,REACTOR-C,A,Gabriela Flores,73.41,3.892,652.12,41.60,SIN_ORDEN
EVT-000437,2026-09-05 02:00:00,REACTOR-B,C,Fernando López,72.66,3.681,646.98,41.32,SIN_ORDEN
EVT-000278,01/09/2026 18:30,REACTOR-B,B,Elena Quispe,68.73,3.707,611.30,35.41,SIN_ORDEN
EVT-000474,2026-09-05 20:30:00,REACTOR-B,B,Elena Quispe,68.68,3.983,626.47,36.80,SIN_ORDEN
EVT-000291,2026-09-02 01:00:00,REACTOR-B,C,Fernando López,"74,00 °C",3.500,"651,78 kWh",40.84,SIN_ORDEN
EVT-000533,2026-09-02 02:00:00,REACTOR-C,C,Irene Choque,,3.694,653.44,42.87,SIN_ORDEN
EVT-000100,2026-09-03 01:30:00,REACTOR-A,C,Carla Méndez,"72,46 °C",3.028,647.40,40.14,SIN_ORDEN
EVT-000317,02/09/2026 14:00,REACTOR-B,B,Elena Quispe,71.89,"3,856 mm/s",602.92,35.72,SIN_ORDEN
EVT-000689,2026-09-05 08:00:00,REACTOR-C,A,Gabriela Flores,72.09,3.684,670.10,42.48,SIN_ORDEN
EVT-000582,2026-09-03 02:30:00,REACTOR-C,C,Irene Choque,72.46,3.861,,38.43,SIN_ORDEN
EVT-000658,2026-09-04 16:30:00,REACTOR-C,B,Hugo Vargas,67.01,4.232,599.21,35.18,SIN_ORDEN
EVT-000359,2026-09-03T11:00:00-04:00,REACTOR-B,A,Diego Arce,75.90,"3,543 mm/s",657.25,40.77,SIN_ORDEN
EVT-000346,2026-09-03 04:30:00,REACTOR-B,C,Fernando López,74.91,3.736,672.41,44.38,SIN_ORDEN
EVT-000523,2026-09-01 21:00:00,REACTOR-C,B,Hugo Vargas,"64,43 °C",4.151,614.50,34.71,SIN_ORDEN
EVT-000655,2026-09-04 15:00:00,REACTOR-C,B,Hugo Vargas,65.41,4.129,"603,37 kWh",37.47,SIN_ORDEN
EVT-000050,2026-09-02 00:30:00,REACTOR-A,C,Carla Méndez,71.45,3.157,665.90,41.14,SIN_ORDEN
EVT-000351,2026-09-03 07:00:00,REACTOR-B,A,Diego Arce,74.57,3.810,661.08,40.09,SIN_ORDEN
EVT-000058,2026-09-02 04:30:00,REACTOR-A,C,Carla Méndez,"74,10 °C",3.056,657.96,42.09,SIN_ORDEN
EVT-000134,2026-09-03 18:30:00,REACTOR-A,B,Bruno Salvatierra,65.59,3.416,653.32,38.03,SIN_ORDEN
EVT-000060,2026-09-02 05:30:00,REACTOR-A,C,Carla Méndez,75.10,3.688,631.65,39.36,SIN_ORDEN
EVT-000468,2026-09-05 17:30:00,REACTOR-B,B,Elena Quispe,68.22,S/D,605.92,36.67,SIN_ORDEN
EVT-000035,2026-09-01 17:00:00,REACTOR-A,B,Bruno Salvatierra,"64,16 °C",3.648,600.64,36.39,SIN_ORDEN
EVT-000367,2026-09-03 15:00:00,REACTOR-B,B,Elena Quispe,69.81,3.580,621.14,37.73,SIN_ORDEN
EVT-000210,2026-09-05 08:30:00,REACTOR-A,A,Ana Rojas,73.07,3.560,658.76,39.70,SIN_ORDEN
EVT-000273,2026-09-01 16:00:00,REACTOR-B,B,Elena Quispe,69.22,3.890,"642,15 kWh",37.75,SIN_ORDEN
EVT-000529,2026-09-02 00:00:00,REACTOR-C,C,Irene Choque,69.40,4.244,647.54,39.22,PREVENTIVO
EVT-000639,2026-09-04 07:00:00,REACTOR-C,A,Gabriela Flores,250 °C,3.992,651.01,39.05,SIN_ORDEN
EVT-000177,2026-09-04 16:00:00,REACTOR-A,B,Bruno Salvatierra,67.23,3.063,605.93,36.94,SIN_ORDEN
EVT-000665,2026-09-04 20:00:00,REACTOR-C,B,Hugo Vargas,65.26,4.199,606.46,"34,43 t",SIN_ORDEN
